artist_name,stage_name,day_number,day_date,day_theme,start_time,end_time
Selena Gomez,Hard Rock Live at Etess Arena,1,2026-08-21,First Roll,14:00:00,15:00:00
The 1975,Borgata Event Center,1,2026-08-21,First Roll,14:00:00,15:00:00
Green Day,Jim Whelan Boardwalk Hall (Main Arena),1,2026-08-21,First Roll,14:00:00,15:00:00
Red Hot Chili Peppers,Ovation Hall,1,2026-08-21,First Roll,14:00:00,15:00:00
Clairo,Atlantic City Beach Grounds,1,2026-08-21,First Roll,14:00:00,15:00:00
Harry Styles,Hard Rock Live at Etess Arena,1,2026-08-21,First Roll,17:00:00,18:15:00
Dua Lipa,Borgata Event Center,1,2026-08-21,First Roll,17:00:00,18:15:00
Olivia Rodrigo,Jim Whelan Boardwalk Hall (Main Arena),1,2026-08-21,First Roll,17:00:00,18:15:00
Coldplay,Ovation Hall,1,2026-08-21,First Roll,21:00:00,22:30:00
Justin Bieber,Atlantic City Beach Grounds,1,2026-08-21,First Roll,21:00:00,22:30:00
Mitski,Atlantic City Beach Grounds,2,2026-08-22,Golden Boardwalk,14:00:00,15:00:00
Charlie Puth,Jim Whelan Boardwalk Hall (Main Arena),2,2026-08-22,Golden Boardwalk,14:00:00,15:00:00
sombr,Hard Rock Live at Etess Arena,2,2026-08-22,Golden Boardwalk,14:00:00,15:00:00
Tate McRae,Ovation Hall,2,2026-08-22,Golden Boardwalk,14:00:00,15:00:00
Dominic Fike,Borgata Event Center,2,2026-08-22,Golden Boardwalk,14:00:00,15:00:00
Doja Cat,Atlantic City Beach Grounds,2,2026-08-22,Golden Boardwalk,17:00:00,18:15:00
Post Malone,Jim Whelan Boardwalk Hall (Main Arena),2,2026-08-22,Golden Boardwalk,17:00:00,18:15:00
Drake,Hard Rock Live at Etess Arena,2,2026-08-22,Golden Boardwalk,17:00:00,18:15:00
Bruno Mars,Ovation Hall,2,2026-08-22,Golden Boardwalk,21:00:00,22:30:00
Ed Sheeran,Borgata Event Center,2,2026-08-22,Golden Boardwalk,21:00:00,22:30:00
Camila Cabello,Atlantic City Beach Grounds,3,2026-08-23,Jackpot Finale,14:00:00,15:00:00
5 Seconds of Summer,Borgata Event Center,3,2026-08-23,Jackpot Finale,14:00:00,15:00:00
Sabrina Carpenter,Jim Whelan Boardwalk Hall (Main Arena),3,2026-08-23,Jackpot Finale,14:00:00,15:00:00
JENNIE,Ovation Hall,3,2026-08-23,Jackpot Finale,14:00:00,15:00:00
MGMT,Hard Rock Live at Etess Arena,3,2026-08-23,Jackpot Finale,14:00:00,15:00:00
Imagine Dragons,Atlantic City Beach Grounds,3,2026-08-23,Jackpot Finale,17:00:00,18:15:00
Arctic Monkeys,Borgata Event Center,3,2026-08-23,Jackpot Finale,17:00:00,18:15:00
Bad Bunny,Jim Whelan Boardwalk Hall (Main Arena),3,2026-08-23,Jackpot Finale,17:00:00,18:15:00
Billie Eilish,Ovation Hall,3,2026-08-23,Jackpot Finale,21:00:00,22:30:00
BTS,Hard Rock Live at Etess Arena,3,2026-08-23,Jackpot Finale,21:00:00,22:30:00
