restaurant_id,name,address,city,st,zip,latitude,longitude,zone_id,cuisine_id,country,food_category,price_range,rating,review_count,opening_hours,is_casino_restaurant,yelp_url,google_maps_url
R001,Knife & Fork Inn,3600 Atlantic Ave,Atlantic City,NJ,8401,39.3512,-74.4378,2,3,American,Steakhouse,$$$$,4.6,1250,17:00-22:00,False,https://www.yelp.com/biz/knife-and-fork-inn-atlantic-city,https://maps.google.com/?q=Knife+&+Fork+Inn+Atlantic+City
R002,Gordon Ramsay Steak,777 Harrah's Blvd,Atlantic City,NJ,8401,39.3815,-74.4365,3,3,British,Steakhouse,$$$$,4.6,1890,17:00-22:30,True,https://www.yelp.com/biz/gordon-ramsay-steak-atlantic-city,https://maps.google.com/?q=Gordon+Ramsay+Steak+Atlantic+City
R003,Il Mulino New York,1000 Boardwalk (Hard Rock),Atlantic City,NJ,8401,39.3645,-74.4172,1,2,Italian,Fine Dining,$$$$,4.4,890,17:00-23:00,True,https://www.yelp.com/biz/il-mulino-new-york-atlantic-city,https://maps.google.com/?q=Il+Mulino+New+York+Atlantic+City
R004,Kuro,1000 Boardwalk (Hard Rock),Atlantic City,NJ,8401,39.3648,-74.4168,1,2,Japanese,Sushi,$$$$,4.6,760,17:30-22:30,True,https://www.yelp.com/biz/kuro-atlantic-city,https://maps.google.com/?q=Kuro+Atlantic+City
R005,Bobby Flay Steak,1 Borgata Way,Atlantic City,NJ,8401,39.3782,-74.4395,1,3,American,Steakhouse,$$$$,4.6,1420,17:00-22:30,True,https://www.yelp.com/biz/bobby-flay-steak-atlantic-city,https://maps.google.com/?q=Bobby+Flay+Steak+Atlantic+City
R006,Izakaya by Michael Schulson,1 Borgata Way,Atlantic City,NJ,8401,39.378,-74.439,1,2,Japanese,Izakaya,$$$,4.5,980,17:00-23:00,True,https://www.yelp.com/biz/izakaya-by-michael-schulson-atlantic-city,https://maps.google.com/?q=Izakaya+by+Michael+Schulson+Atlantic+City
R007,Council Oak Fish,1000 Boardwalk (Hard Rock),Atlantic City,NJ,8401,39.3642,-74.4173,1,1,American,Seafood,$$$$,4.5,930,17:00-22:30,True,https://www.yelp.com/biz/council-oak-fish-atlantic-city,https://maps.google.com/?q=Council+Oak+Fish+Atlantic+City
R008,Dock's Oyster House,2405 Atlantic Ave,Atlantic City,NJ,8401,39.3598,-74.4281,2,1,American,Seafood,$$$,4.7,2300,16:00-22:00,False,https://www.yelp.com/biz/dock's-oyster-house-atlantic-city,https://maps.google.com/?q=Dock's+Oyster+House+Atlantic+City
R009,Morton's The Steakhouse,2130 Atlantic Ave,Atlantic City,NJ,8401,39.3562,-74.4315,1,3,American,Steakhouse,$$$$,4.6,1340,17:00-22:00,True,https://www.yelp.com/biz/morton's-the-steakhouse-atlantic-city,https://maps.google.com/?q=Morton's+The+Steakhouse+Atlantic+City
R010,Guy Fieri's Chophouse,1900 Pacific Ave,Atlantic City,NJ,8401,39.3575,-74.434,1,3,American,Steakhouse,$$$$,4.4,1650,17:00-22:00,True,https://www.yelp.com/biz/guy-fieri's-chophouse-atlantic-city,https://maps.google.com/?q=Guy+Fieri's+Chophouse+Atlantic+City
R011,Capriccio,1 Castle Blvd (Resorts),Atlantic City,NJ,8401,39.3582,-74.4231,1,2,Italian,Fine Dining,$$$,4.5,620,17:30-22:00,True,https://www.yelp.com/biz/capriccio-atlantic-city,https://maps.google.com/?q=Capriccio+Atlantic+City
R012,Cardinal Bistro,641 Atlantic Ave,Atlantic City,NJ,8401,39.355,-74.438,2,3,French,Bistro,$$$,4.7,490,17:00-22:00,False,https://www.yelp.com/biz/cardinal-bistro-atlantic-city,https://maps.google.com/?q=Cardinal+Bistro+Atlantic+City
R013,McCormick & Schmick's Seafood,1 Gulf and Western Way,Atlantic City,NJ,8401,39.3812,-74.4362,3,1,American,Seafood,$$$,4.3,1100,17:00-22:00,True,https://www.yelp.com/biz/mccormick-and-schmick's-seafood-atlantic-city,https://maps.google.com/?q=McCormick+&+Schmick's+Seafood+Atlantic+City
R014,Olón by Jose Garces,1000 Boardwalk,Atlantic City,NJ,8401,39.354,-74.442,1,2,Latin American,Tapas,$$$,4.3,620,17:00-22:00,True,https://www.yelp.com/biz/olón-by-jose-garces-atlantic-city,https://maps.google.com/?q=Olón+by+Jose+Garces+Atlantic+City
R015,Zuma Atlantic City,1000 Boardwalk,Atlantic City,NJ,8401,39.3646,-74.417,1,2,Japanese,Fine Dining,$$$$,4.5,410,17:00-23:00,True,https://www.yelp.com/biz/zuma-atlantic-city-atlantic-city,https://maps.google.com/?q=Zuma+Atlantic+City+Atlantic+City
R016,White House Sub Shop,2301 Arctic Ave,Atlantic City,NJ,8401,39.361,-74.429,2,1,American,Subs,$,4.8,3400,10:00-20:00,False,https://www.yelp.com/biz/white-house-sub-shop-atlantic-city,https://maps.google.com/?q=White+House+Sub+Shop+Atlantic+City
R017,Tony's Baltimore Grill,2807 Atlantic Ave,Atlantic City,NJ,8401,39.3581,-74.4253,2,2,Italian,Pizza,$$,4.2,1820,11:00-03:00,False,https://www.yelp.com/biz/tony's-baltimore-grill-atlantic-city,https://maps.google.com/?q=Tony's+Baltimore+Grill+Atlantic+City
R018,Gordon Ramsay Pub & Grill,2100 Pacific Ave,Atlantic City,NJ,8401,39.3565,-74.4312,1,2,British,Pub,$$$,4.5,2100,11:30-23:00,True,https://www.yelp.com/biz/gordon-ramsay-pub-and-grill-atlantic-city,https://maps.google.com/?q=Gordon+Ramsay+Pub+&+Grill+Atlantic+City
R019,LandShark Bar & Grill,1133 Boardwalk,Atlantic City,NJ,8401,39.3622,-74.4195,1,4,American,Beach Bar,$$,4.3,1540,11:00-00:00,True,https://www.yelp.com/biz/landshark-bar-and-grill-atlantic-city,https://maps.google.com/?q=LandShark+Bar+&+Grill+Atlantic+City
R020,Carmine's Italian Restaurant,2801 Pacific Ave,Atlantic City,NJ,8401,39.3528,-74.4445,1,2,Italian,Family Style,$$$,4.6,4100,11:30-22:00,True,https://www.yelp.com/biz/carmine's-italian-restaurant-atlantic-city,https://maps.google.com/?q=Carmine's+Italian+Restaurant+Atlantic+City
R021,Chickie's & Pete's Crab House,2801 Pacific Ave,Atlantic City,NJ,8401,39.3532,-74.4438,1,4,American,Sports Bar,$$,4.3,3100,11:00-01:00,True,https://www.yelp.com/biz/chickie's-and-pete's-crab-house-atlantic-city,https://maps.google.com/?q=Chickie's+&+Pete's+Crab+House+Atlantic+City
R022,Cuba Libre Restaurant & Rum Bar,2801 Pacific Ave,Atlantic City,NJ,8401,39.3525,-74.444,1,2,Cuban,Rum Bar,$$$,4.4,2600,11:30-23:00,True,https://www.yelp.com/biz/cuba-libre-restaurant-and-rum-bar-atlantic-city,https://maps.google.com/?q=Cuba+Libre+Restaurant+&+Rum+Bar+Atlantic+City
R023,Sack O' Subs,1638 Atlantic Ave,Atlantic City,NJ,8401,39.358,-74.4335,2,1,American,Subs,$,4.6,950,10:00-20:00,False,https://www.yelp.com/biz/sack-o'-subs-atlantic-city,https://maps.google.com/?q=Sack+O'+Subs+Atlantic+City
R024,Cuzzie's Pizzeria,1504 Atlantic Ave,Atlantic City,NJ,8401,39.357,-74.432,2,2,Italian,Pizza,$$,4.4,430,11:00-23:00,False,https://www.yelp.com/biz/cuzzie's-pizzeria-atlantic-city,https://maps.google.com/?q=Cuzzie's+Pizzeria+Atlantic+City
R025,AC Burger Co.,2 Convention Blvd,Atlantic City,NJ,8401,39.3635,-74.435,2,4,American,Burgers,$$,4.1,850,11:00-22:00,False,https://www.yelp.com/biz/ac-burger-co-atlantic-city,https://maps.google.com/?q=AC+Burger+Co.+Atlantic+City
R026,Guy Fieri's Wildwood BBQ,1900 Pacific Ave,Atlantic City,NJ,8401,39.3572,-74.4342,1,4,American,Barbecue,$$,4.2,920,11:30-23:00,True,https://www.yelp.com/biz/guy-fieri's-wildwood-bbq-atlantic-city,https://maps.google.com/?q=Guy+Fieri's+Wildwood+BBQ+Atlantic+City
