Property Name,Address,Latitude,Longitude,Section of AC,Total Rooms/Units,Star Rating,Price Min ($/night),Price Max ($/night),Price Tier,Has Casino,Has Pool,Has Restaurant,Monopoly Tier,Property Type,Source / Notes,Google Maps Link
Ocean Casino Resort,"500 Boardwalk, Atlantic City, NJ 08401",39.362815,-74.415773,Boardwalk (Uptown),1399,4.5,90,900,Luxury,Yes,Yes,Yes,Boardwalk (Premium),Casino Resort,"Rooms per Wikipedia; newest tower (2018), premium ocean-view pricing per Shore Guide 2026",View on Map
MGM Tower at Borgata,"1 Borgata Way, Atlantic City, NJ 08401",39.379125,-74.433427,Marina,757,4.7,130,550,Luxury,Yes,Yes,Yes,Boardwalk (Premium),Casino Resort (tower),"757 rooms are a subset of Borgata's 2,767 total (NJ Monthly); do not double-count in aggregate totals",View on Map
Hard Rock Hotel & Casino Atlantic City,"1000 Boardwalk, Atlantic City, NJ 08401",39.360096,-74.420312,Boardwalk (Uptown),1971,4.0,70,533,Luxury,Yes,Yes,Yes,Boardwalk,Casino Resort,Rooms per Wikipedia 'List of casinos in New Jersey'; price range from momondo live search,View on Map
Borgata Hotel Casino & Spa,"1 Borgata Way, Atlantic City, NJ 08401",39.378321,-74.435267,Marina,2767,4.5,83,500,Luxury,Yes,Yes,Yes,Boardwalk (Premium),Casino Resort,Rooms incl. Water Club & MGM Tower per Wikipedia 'List of casinos in New Jersey'; rates from HotelPlanner verified stays Feb-Jun 2026,View on Map
Coastal Chateau,"601 Atlantic Ave, Ocean City, NJ 08226",39.279411,-74.568783,"Ocean City (regional, ~9 mi S of AC)",12,4.8,250,500,Luxury,No,No,No,Airbnb/Boutique-Alt,Boutique Inn,Small independently-run boutique inn near AC region; unit count is an estimate - confirm with property,View on Map
Caesars Atlantic City,"2100 Pacific Ave, Atlantic City, NJ 08401",39.356608,-74.435865,Boardwalk (Midtown),1141,4.0,100,450,Upscale,Yes,Yes,Yes,Boardwalk,Casino Resort,Rooms per Wikipedia; pricing estimated from Shore Guide 2026 weekend-package ranges,View on Map
Surrey Beach House,"109 S Surrey Ave, Ventnor City, NJ 08406",39.340913,-74.471013,"Ventnor City (regional, ~4 mi S of AC)",8,4.5,200,450,Upscale,No,No,No,Airbnb/Boutique-Alt,Boutique Inn,Self-check-in boutique inn near the beach; unit count is an estimate - confirm with property,View on Map
"Seaview, a Destination by Hyatt","401 S New York Rd, Galloway, NJ 08205",39.450046,-74.473891,"Galloway Twp (regional, ~9 mi N of AC)",,4.2,150,450,Upscale,No,Yes,Yes,Airbnb/Boutique-Alt,Historic Golf Resort,"Historic 1914 golf resort (2 championship courses), formerly Marriott/Dolce-branded, now Hyatt; room count not confirmed - verify with property",View on Map
Tropicana Atlantic City,"2831 Boardwalk, Atlantic City, NJ 08401",39.352369,-74.444562,Boardwalk (Downbeach),2364,3.8,65,400,Upscale,Yes,Yes,Yes,Boardwalk,Casino Resort,Rooms per Wikipedia; described as AC's budget-leaning major casino per Shore Guide 2026,View on Map
Chelsea Inn,"8 S Morris Ave, Atlantic City, NJ 08401",39.35319,-74.447602,"Boardwalk (Chelsea, near Tropicana)",,4.4,90,385,Upscale,No,No,Yes,Atlantic Ave Boutique,Historic Boutique Inn,Independent themed-room boutique inn with attached pub/restaurant; room count not publicly listed - confirm with property. Price high end from Wyndham OTA listing,View on Map
Flagship Resort (Boardwalk Resorts),"60 N Maine Ave, Atlantic City, NJ 08401",39.369875,-74.412611,Boardwalk (Inlet section),220,3.9,70,369,Upscale,No,Yes,Yes,Non-Casino Condo-Resort,Condo-Hotel (timeshare),"220 rooms per Wikipedia; some vendor listings cite 440 suites - discrepancy likely studio-vs-suite counting, verify with FantaSea Resorts directly",View on Map
Club Wyndham Skyline Tower,"100 S North Carolina Ave, Atlantic City, NJ 08401",39.361182,-74.424599,"Boardwalk (Uptown, near Hard Rock)",296,3.8,100,362,Upscale,No,Yes,No,Non-Casino Condo-Resort,Condo-Hotel (timeshare),"296-unit 1-2BR condo tower per VisitNJ.org; no on-site restaurant per HotelTonight listing; note - property announced closing in early 2026 per guest reviews, verify current operating status",View on Map
Bally's Atlantic City Hotel & Casino,"1900 Pacific Ave, Atlantic City, NJ 08401",39.356385,-74.43269,Boardwalk (Midtown),1169,3.5,60,350,Upscale,Yes,Yes,Yes,Boardwalk,Casino Resort,"Rooms per Wikipedia / Bally's official site (~1,100+); positioned as value tier per guest reviews",View on Map
Harrah's Resort Atlantic City,"777 Harrah's Blvd, Atlantic City, NJ 08401",39.384339,-74.427666,Marina,2587,3.9,65,350,Upscale,Yes,Yes,Yes,Marina District,Casino Resort,Rooms per Wikipedia; off-Boardwalk waterfront convention property,View on Map
Sheraton Atlantic City Convention Center Hotel,"Two Convention Blvd, Atlantic City, NJ 08401",39.361985,-74.438656,"Boardwalk (Midtown, adj. Convention Center)",,3.8,90,350,Upscale,No,Yes,Yes,Atlantic Ave Boutique,Non-Casino Business Hotel,Connected to the AC Convention Center and the Walk outlets; room count not confirmed - verify with property,View on Map
Resorts Casino Hotel,"1133 Boardwalk, Atlantic City, NJ 08401",39.359409,-74.422272,Boardwalk (Uptown),942,3.5,60,300,Midscale,Yes,Yes,Yes,Boardwalk,Casino Resort,First AC casino (1978); rooms per Wikipedia,View on Map
Golden Nugget Atlantic City,"600 Huron Ave, Atlantic City, NJ 08401",39.379519,-74.427915,Marina,717,4.0,70,300,Midscale,Yes,Yes,Yes,Marina District,Casino Resort,Smallest AC casino by room count per Wikipedia; 9 restaurants/10 bars per Hopper listing,View on Map
The Claridge Hotel,"123 S Indiana Ave, Atlantic City, NJ 08401",39.357643,-74.431877,"Boardwalk (Midtown, 1 block off)",268,3.4,90,300,Midscale,No,Yes,Yes,Atlantic Ave Boutique,Historic Boutique Hotel,"1930s-era independent hotel, one block off the Boardwalk; no on-site casino",View on Map
Courtyard by Marriott Atlantic City Beach Block,"1212 Pacific Ave, Atlantic City, NJ 08401",39.360775,-74.425297,"Boardwalk (Midtown, 1 block off)",206,3.7,90,300,Midscale,No,Unclear,No,Atlantic Ave Boutique,Non-Casino Business Hotel,"206 rooms per AtlanticCity.com hotel directory; on-site bistro is limited-service, no full restaurant",View on Map
Showboat Resort Atlantic City,"801 Boardwalk, Atlantic City, NJ 08401",39.361723,-74.418454,Boardwalk (Uptown),1300,3.3,55,280,Midscale,No,Yes,Yes,Boardwalk (Non-Gaming),Resort (no casino),"Gaming license surrendered 2014; now a family resort with Island Waterpark; room count varies 872-1,300 across sources - verify with property directly",View on Map
Days Inn by Wyndham Atlantic City Oceanfront-Boardwalk,"3000 Boardwalk, Atlantic City, NJ 08401",39.351338,-74.446632,"Boardwalk (Downbeach, near Tropicana)",,3.2,60,220,Midscale,No,Unclear,No,Atlantic Ave Boutique,Budget Motel/Inn,Budget oceanfront motel-style property; room count not confirmed - verify with property,View on Map
The Boards AC,"124 S North Carolina Ave, Atlantic City, NJ 08401",39.360383,-74.424348,"Boardwalk (Uptown, near Hard Rock)",,2.8,55,160,Midscale,No,No,No,Atlantic Ave Boutique,Budget Motel/Inn,Small independent motel close to the Boardwalk; room count not confirmed,View on Map
Quality Inn Flamingo,"3101 Pacific Ave, Atlantic City, NJ 08401",39.35208,-74.448762,"Boardwalk (Downbeach, near Tropicana)",,3.5,45,150,Budget,No,Unclear,No,Atlantic Ave Boutique,Budget Motel/Inn,Independent budget motel a few blocks off the Boardwalk; free hot breakfast per guest reviews; room count not confirmed,View on Map
Super 8 by Wyndham Atlantic City,"175-181 S Tennessee Ave, Atlantic City, NJ 08401",39.359212,-74.425678,"Boardwalk (Midtown, near Caesars/Bally's)",,2.6,45,140,Budget,No,Unclear,No,Atlantic Ave Boutique,Budget Motel/Inn,Lowest-rated property in this dataset (2.6); include only if festival budget is the priority over comfort - room count not confirmed,View on Map
Red Carpet Inn & Suites Atlantic City,"1104 Pacific Ave, Atlantic City, NJ 08401",39.361792,-74.423671,"Boardwalk (Uptown, near Resorts/Hard Rock)",,3.0,40,130,Budget,No,No,No,Atlantic Ave Boutique,Budget Motel/Inn,5-minute walk to Boardwalk casinos per guest reviews; free parking; room count not confirmed,View on Map
SuperLodge Atlantic City/Absecon,"633 White Horse Pike, Absecon, NJ 08201",39.435149,-74.516539,"Absecon (regional, ~8 mi NW of AC)",,2.2,40,100,Budget,No,No,No,Airbnb/Boutique-Alt,Budget Motel/Inn,Cheapest option in this dataset but furthest out and most inconsistently reviewed; only consider if driving and prioritizing price over everything else,View on Map
City House Atlantic City (Hostel),"110 S Texas Ave, Atlantic City, NJ 08401",39.353811,-74.441933,Boardwalk (Chelsea),,4.0,30,90,Budget,No,No,No,Airbnb/Boutique-Alt,Hostel,"Bunk/private-room hostel, walkable to casinos and clubs; best value for solo festivalgoers or groups splitting a room; per-bed vs per-room pricing varies by booking site",View on Map
