Venue Name,Stage Type,Max Capacity,Location Description,address,latitude,longitude
Jim Whelan Boardwalk Hall (Main Arena),Main,14770,Center of the AC Boardwalk (2301 Boardwalk),"2301 Boardwalk, Atlantic City, NJ 08401",39.3551,-74.4385
Adrian Phillips Theater (at Boardwalk Hall),Secondary,3200,"Inside Boardwalk Hall, facing the oceanfront corridor","2301 Boardwalk, Atlantic City, NJ 08401",39.3551,-74.4385
Hard Rock Live at Etess Arena,Main,7000,Hard Rock Hotel & Casino (North Boardwalk),"1000 Boardwalk, Atlantic City, NJ 08401",39.3582,-74.4187
Ovation Hall,Main,5500,Ocean Casino Resort (Northernmost end of the Boardwalk),"1000 Boardwalk, Atlantic City, NJ 08401",39.3582,-74.4187
Borgata Event Center,Main,3200,Borgata Hotel Casino & Spa (Marina District),"500 Boardwalk, Atlantic City, NJ 08401",39.3629,-74.4147
The Music Box at Borgata,Secondary,1000,Borgata Hotel Casino & Spa (Marina District),"1 Borgata Way, Atlantic City, NJ 08401",39.3776,-74.4357
The Pool After Dark,Club Stage,2200,Harrah's Resort (Marina District) under a glass dome,"1 Borgata Way, Atlantic City, NJ 08401",39.3776,-74.4357
Atlantic City Beach Grounds,Pop-up,50000,Open beach adjacent to the Boardwalk (varies by event),"777 Harrah's Blvd, Atlantic City, NJ 08401",39.3807,-74.4285
Sound Waves,Club,1400,Secondary concert venue inside Hard Rock Hotel & Casino.,"2100 Pacific Ave, Atlantic City, NJ 08401",39.3562,-74.4363
Circus Maximus Theater,Club,1500,Caesars Atlantic City indoor theater.,"1133 Boardwalk, Atlantic City, NJ 08401",39.3592,-74.4199
Superstar Theater,Club,1350,Resorts Casino Hotel performance venue.,"247 S New York Ave, Atlantic City, NJ 08401",39.3596,-74.4262
Anchor Rock Club,Club,650,Independent live music venue in the Orange Loop; ideal for emerging artists and after-parties.,"1 Atlantic Ocean (Boardwalk Beach), Atlantic City, NJ 08401",39.3556,-74.4312
